client_acc,client_loss,communication_time,compute_time,domain,global_acc,global_loss,mnist_acc,mnist_loss,mode,model,rank,round,round_time,server_communication_time,svhn_acc,svhn_loss,total_time,usps_acc,usps_loss
0.09375,2.30442099571228,0.0014993009999670903,0.1384063730000662,svhn,0.09375,2.304099917411804,0.08203125,2.30639785528183,mpi_sync,lenet5,2,2,5.737697361000073,5.423632216999977,0.1015625,2.304631680250168,17.10725297199997,0.09765625,2.301270216703415
0.103125,2.306080770492554,0.0017907100000229548,0.13407034299996212,usps,0.09375,2.304099917411804,0.08203125,2.30639785528183,mpi_sync,lenet5,3,2,5.737697361000073,5.423632216999977,0.1015625,2.304631680250168,17.10725297199997,0.09765625,2.301270216703415
0.10625,2.3018337726593017,2.523797826999953,0.2530118360000415,mnist,0.09375,2.30440483490626,0.08203125,2.306733191013336,mpi_sync,lenet5,1,1,11.14173729900017,10.850889431000041,0.1015625,2.3048890233039856,11.141748249000102,0.09765625,2.3015922904014587
0.1125,2.2991597652435303,1.431645410000101,0.20595769999999902,svhn,0.09375,2.30440483490626,0.08203125,2.306733191013336,mpi_sync,lenet5,2,1,11.14173729900017,10.850889431000041,0.1015625,2.3048890233039856,11.141748249000102,0.09765625,2.3015922904014587
0.09375,2.3071415424346924,1.3200154560000783,0.13757218299997476,usps,0.09375,2.30440483490626,0.08203125,2.306733191013336,mpi_sync,lenet5,3,1,11.14173729900017,10.850889431000041,0.1015625,2.3048890233039856,11.141748249000102,0.09765625,2.3015922904014587
0.103125,2.3012629985809325,0.0031250149997958943,0.16853326700015714,mnist,0.09375,2.304099917411804,0.08203125,2.30639785528183,mpi_sync,lenet5,1,2,7.912798027999997,7.590597533999926,0.1015625,2.304631680250168,19.054776487000026,0.09765625,2.301270216703415
0.09375,2.30442099571228,0.0013598040000033507,0.1362611700000116,svhn,0.09375,2.304099917411804,0.08203125,2.30639785528183,mpi_sync,lenet5,2,2,7.912798027999997,7.590597533999926,0.1015625,2.304631680250168,19.054776487000026,0.09765625,2.301270216703415
0.103125,2.306080770492554,0.0016710050000483534,0.14868060899993907,usps,0.09375,2.304099917411804,0.08203125,2.30639785528183,mpi_sync,lenet5,3,2,7.912798027999997,7.590597533999926,0.1015625,2.304631680250168,19.054776487000026,0.09765625,2.301270216703415
0.10625,2.3018337726593017,8.931587107999917,0.8849397760000102,mnist,0.09375,2.30440483490626,0.08203125,2.306733191013336,mpi_sync,lenet5,1,1,13.282639088999986,12.927094280000006,0.1015625,2.3048890233039856,13.282655181999985,0.09765625,2.3015922904014587
0.1125,2.2991597652435303,1.4128013890001512,0.18340984899987234,svhn,0.09375,2.30440483490626,0.08203125,2.306733191013336,mpi_sync,lenet5,2,1,13.282639088999986,12.927094280000006,0.1015625,2.3048890233039856,13.282655181999985,0.09765625,2.3015922904014587
0.09375,2.3071415424346924,1.2571690450001825,0.1405389199999263,usps,0.09375,2.30440483490626,0.08203125,2.306733191013336,mpi_sync,lenet5,3,1,13.282639088999986,12.927094280000006,0.1015625,2.3048890233039856,13.282655181999985,0.09765625,2.3015922904014587
0.103125,2.3012629985809325,0.0017128470000216112,0.33430452799996146,mnist,0.09375,2.304099917411804,0.08203125,2.30639785528183,mpi_sync,lenet5,1,2,7.122984950999921,6.773677807000013,0.1015625,2.304631680250168,20.406040975999986,0.09765625,2.301270216703415
0.09375,2.30442099571228,0.0012021079999158246,0.13559873600001993,svhn,0.09375,2.304099917411804,0.08203125,2.30639785528183,mpi_sync,lenet5,2,2,7.122984950999921,6.773677807000013,0.1015625,2.304631680250168,20.406040975999986,0.09765625,2.301270216703415
